"Participant ID","Mental DemandHow mentally demanding was the task?  []","Physical DemandHow physically demanding was the task?  []","Temporal DemandHow hurried or rushed was the pace of the task?  []","PerformanceHow successful were you in accomplishing what you were asked to do?  []","EffortHow hard did you have to work to accomplish your level of performance?  []","FrustrationHow insecure, discouraged, irritated, stressed, and annoyed were you? []"
"1","6","2","10","5","7","6"
"2","7","4","8","8","6","4"
"3","5","2","6","6","5","1"
"4","7","3","7","7","7","4"
"5","8","2","9","4","9","5"
"6","4","3","7","5","3","3"
"7","6","2","4","7","7","3"
"8","6","7","8","6","7","3"
"9","6","2","8","8","7","1"
"10","7","3","7","8","7","5"
"11","3","1","2","4","5","2"
"12","8","5","3","7","7","2"
"13","7","3","7","5","7","6"
"14","7","3","8","4","8","7"
"15","7","4","5","7","5","4"
"16","4","6","3","6","10","7"
"17","5","4","9","5","7","4"
"18","8","2","2","8","9","3"
"19","3","5","5","6","7","3"
"20","8","3","8","3","7","5"
"21","8","2","6","8","7","3"
"22","6","2","9","5","6","7"
"23","6","1","9","9","8","2"
